Layer,Name,GEOID,Population,Longitude,Latitude,UMP_2018-2022,EDX_2018-2022,HDX_2018-2022,INC_2018-2022,PCI_2018-2022,POV_2018-2022
,,,,,,"Unemployment rate (%), 2018-2022","Economic Diversity Index, 2018-2022","Hardship Index (score), 2018-2022","Median household income, 2018-2022","Per capita income, 2018-2022","Poverty rate (% of residents), 2018-2022"
Census tract,Tract 303,17031030300,3148,-87.67253480,41.99438750,5.079217148182665,0.7767948235851078,51.49943551,59290.11530868031,39547.83278244859,15.238879736408569
Census tract,Tract 304,17031030400,2597,-87.67207880,41.98695150,3.508771929824561,0.7127683590625444,17.63218553,89072.71150646642,50823.2425741476,12.969525159461377
Census tract,Tract 305,17031030500,6183,-87.66493590,41.98722600,1.7887205387205385,0.5838797561228813,2.334415279,100288.52126267219,57326.981831895115,4.742569433165503
Census tract,Tract 306.01,17031030601,3293,-87.65460870,41.98897160,4.781235904375282,0.7927416830758387,64.15231913,47503.97905898534,33832.64784045786,18.732551647124517
Census tract,Tract 306.03,17031030603,2045,-87.65839790,41.98547620,6.751592356687898,0.7774148953510133,55.91071597,49788.95272743406,37597.53623638501,15.61822125813449
Census tract,Tract 306.04,17031030604,3737,-87.65245460,41.98587070,3.2390745501285343,0.6109557361828652,24.94590272,45677.467202023116,52011.57558952062,18.41834988017802
Census tract,Tract 307.01,17031030701,1671,-87.65796590,41.98274530,12.892741061755148,0.8058564989781921,67.72273967,43658.40138423656,37668.13935535393,26.218611521418023
Census tract,Tract 307.02,17031030702,2318,-87.65452860,41.98081480,11.493461803165864,0.5619879134734338,60.14912033,63313.57616628585,59927.37722664655,17.210944395410415
Census tract,Tract 307.03,17031030703,3075,-87.65787080,41.97887490,9.48678071539658,0.7544340489617787,55.23920406,51959.31094301116,46878.63714811775,25.121241513094084
Census tract,Tract 307.06,17031030706,2933,-87.65091550,41.98041510,11.401743796109994,0.5937926769563762,34.03542196,49644.995718627295,57282.05257436944,5.564142194744977
Census tract,Tract 308,17031030800,4284,-87.66418800,41.97991230,3.75,0.4352551984877127,5.47676169,88087.93553539341,65981.82390913728,10.54047444362925
Census tract,Tract 309,17031030900,2952,-87.67144540,41.97979510,4.590017825311943,0.4769662387727065,4.560635996,93809.53894274496,63391.514674238555,5.890052356020942
Census tract,Tract 310,17031031000,3868,-87.67110940,41.97243700,3.768218983291859,0.2788887675166193,1.139570985,110971.59839393065,68939.81951684819,6.372413793103449
Census tract,Tract 311,17031031100,4691,-87.66386620,41.97266840,2.9069767441860463,0.5766958252801927,9.541113934,72446.13545109695,49655.99880210297,15.427740863787376
Census tract,Tract 312,17031031200,5541,-87.65734100,41.97270920,5.550500454959054,0.7332863169280692,81.50225797,22362.850240688567,24528.6238381508,35.97949080622348
Census tract,Tract 313,17031031300,6719,-87.64652980,41.97376460,3.042596348884381,0.6948027826066767,30.50028225,59231.43219681004,48951.801459659706,16.73412204234122
Census tract,Tract 314,17031031400,5221,-87.64240950,41.95844750,1.553062985332183,0.6127486490719711,1.448866309,75670.03890947004,64210.32746955345,4.915142164425832
Census tract,Tract 315.01,17031031501,4155,-87.65243430,41.96728860,5.3350970017636685,0.7151816705233179,85.07385455,44827.479003527136,23905.11577452916,46.29911004992403
Census tract,Tract 315.02,17031031502,4712,-87.65236560,41.96363260,8.316909735908554,0.7468579084142304,77.12625835,43267.79192085006,30488.62738747532,27.943722943722943
Census tract,Tract 317,17031031700,6294,-87.66319540,41.96544660,4.396959112389562,0.4297777777777778,13.87595258,77723.94782492956,50834.24565762328,13.988689288090486
Census tract,Tract 318,17031031800,1910,-87.67062090,41.96701140,6.781829814459373,0.6408209399167162,21.94938376,74154.36416069567,53991.213691519326,12.428842504743832
